driverId,forename,surname,career_points,avg_finishing_position,total_podiums
587,Bernie,Ecclestone,0.0,,0.0
588,Luigi,Taramazzo,0.0,,0.0
592,Jimmy,Reece,0.0,9.75,0.0
594,Johnnie,Tolan,0.0,13.0,0.0
764,Guy,Mairesse,0.0,11.5,0.0
573,Alessandro,de Tomaso,0.0,9.0,0.0
574,George,Constantine,0.0,,0.0
575,Bob,Said,0.0,,0.0
576,Phil,Cade,0.0,,0.0
582,Ken,Kavanagh,0.0,,0.0
513,Eddie,Johnson,0.0,11.333333333333334,0.0
755,Rudolf,Schoeller,0.0,,0.0
756,Paul,Pietsch,0.0,,0.0
757,Josef,Peters,0.0,,0.0
758,Dries,van der Lof,0.0,,0.0
759,Jan,Flinterman,0.0,9.0,0.0
760,Piero,Dusio,0.0,,0.0
761,Alberto,Crespo,0.0,,0.0
762,Franco,Rol,0.0,9.0,0.0
566,Carroll,Shelby,0.0,7.75,0.0
567,Fritz,d'Orey,0.0,10.0,0.0
568,Azdrubal,Fontes,0.0,,0.0
569,Peter,Ashdown,0.0,12.0,0.0
570,Bill,Moss,0.0,,0.0
571,Dennis,Taylor,0.0,,0.0
572,Harry,Blanchard,0.0,7.0,0.0
605,Tom,Bridger,0.0,,0.0
557,Chuck,Arnold,0.0,15.0,0.0
558,Al,Keller,0.0,12.5,0.0
560,Bill,Cheesbourg,0.0,10.0,0.0
561,Ray,Crawford,0.0,,0.0
562,Jack,Turner,0.0,11.0,0.0
563,Chuck,Weyant,0.0,13.0,0.0
564,Jud,Larson,0.0,8.0,0.0
565,Mike,Magill,0.0,,0.0
543,Giulio,Cabianca,0.0,15.0,0.0
549,Ivor,Bueb,0.0,10.666666666666666,0.0
550,Alain,de Changy,0.0,,0.0
551,Maria,de Filippis,0.0,10.0,0.0
552,Jean,Lucienbonnet,0.0,,0.0
553,André,Testut,0.0,,0.0
556,Jimmy,Daywalt,0.0,9.666666666666666,0.0
603,André,Guelfi,0.0,15.0,0.0
604,François,Picard,0.0,,0.0
538,Al,Herman,0.0,10.0,0.0
539,Dempsey,Wilson,0.0,,0.0
540,Mike,Taylor,0.0,,0.0
542,David,Piper,0.0,,0.0
639,André,Milhoux,0.0,,0.0
